"","2.5 %","97.5 %"
"IsOAD1",-0.143539164280251,-0.0440786499135991
"IsOAD1:Holiday1",-0.247805742765516,0.0336289557717517
"TrafficTypePed:IsOAD1",0.0714497884213437,0.193828380255301
"TrafficTypePed",0.917961328734081,0.954543344249769
"AQI_CatModerate",0.0639723099601567,0.101728909881176
"AQI_CatUnhealthy for Sensitive Groups",0.121372430532762,0.250483014182774
"AQI_CatUnhealthy",-0.214785248034362,0.473791400949369
"TrafficTypePed:AQI_CatModerate",-0.128049975524879,-0.0816917103455295
"TrafficTypePed:AQI_CatUnhealthy for Sensitive Groups",-0.385063011361755,-0.216541694841465
"TrafficTypePed:AQI_CatUnhealthy",-0.599748058574998,0.289704496776684
